SampleID;Plate;Position;Row;Col;CellLine;gRNA;KO;DIFF;RAPA
DE10NGSUKBR112901;1;A01;A;01;D62;NTC;FALSE;TRUE;TRUE
DE80NGSUKBR112902;1;A02;A;02;D62;NTC;FALSE;TRUE;TRUE
DE53NGSUKBR112903;1;A03;A;03;D62;NTC;FALSE;TRUE;TRUE
DE26NGSUKBR112904;1;A04;A;04;D62;NTC;FALSE;TRUE;FALSE
DE96NGSUKBR112905;1;A05;A;05;D62;NTC;FALSE;TRUE;FALSE
DE69NGSUKBR112906;1;A06;A;06;D62;NTC;FALSE;TRUE;FALSE
DE42NGSUKBR112907;1;A07;A;07;D62;2.1;TRUE;TRUE;TRUE
DE15NGSUKBR112908;1;A08;A;08;D62;2.1;TRUE;TRUE;TRUE
DE85NGSUKBR112909;1;A09;A;09;D62;2.1;TRUE;TRUE;TRUE
DE58NGSUKBR112910;1;A10;A;10;D62;2.1;TRUE;TRUE;FALSE
DE31NGSUKBR112911;1;A11;A;11;D62;2.1;TRUE;TRUE;FALSE
DE04NGSUKBR112912;1;A12;A;12;D62;2.1;TRUE;TRUE;FALSE
DE74NGSUKBR112913;1;B01;B;01;D62;2.2;TRUE;TRUE;TRUE
DE47NGSUKBR112914;1;B02;B;02;D62;2.2;TRUE;TRUE;TRUE
DE20NGSUKBR112915;1;B03;B;03;D62;2.2;TRUE;TRUE;TRUE
DE90NGSUKBR112916;1;B04;B;04;D62;2.2;TRUE;TRUE;FALSE
DE63NGSUKBR112917;1;B05;B;05;D62;2.2;TRUE;TRUE;FALSE
DE36NGSUKBR112918;1;B06;B;06;D62;2.2;TRUE;TRUE;FALSE
DE09NGSUKBR112919;1;B07;B;07;D62;NTC;FALSE;FALSE;TRUE
DE79NGSUKBR112920;1;B08;B;08;D62;NTC;FALSE;FALSE;TRUE
DE52NGSUKBR112921;1;B09;B;09;D62;NTC;FALSE;FALSE;TRUE
DE25NGSUKBR112922;1;B10;B;10;D62;NTC;FALSE;FALSE;FALSE
DE95NGSUKBR112923;1;B11;B;11;D62;NTC;FALSE;FALSE;FALSE
DE68NGSUKBR112924;1;B12;B;12;D62;NTC;FALSE;FALSE;FALSE
DE41NGSUKBR112925;1;C01;C;01;D62;2.1;TRUE;FALSE;TRUE
DE14NGSUKBR112926;1;C02;C;02;D62;2.1;TRUE;FALSE;TRUE
DE84NGSUKBR112927;1;C03;C;03;D62;2.1;TRUE;FALSE;TRUE
DE57NGSUKBR112928;1;C04;C;04;D62;2.1;TRUE;FALSE;FALSE
DE30NGSUKBR112929;1;C05;C;05;D62;2.1;TRUE;FALSE;FALSE
DE03NGSUKBR112930;1;C06;C;06;D62;2.1;TRUE;FALSE;FALSE
DE73NGSUKBR112931;1;C07;C;07;D62;2.2;TRUE;FALSE;TRUE
DE46NGSUKBR112932;1;C08;C;08;D62;2.2;TRUE;FALSE;TRUE
DE19NGSUKBR112933;1;C09;C;09;D62;2.2;TRUE;FALSE;TRUE
